fecha,hora_local,timestamp_utc,Q_p05,Q_p25,Q_p75,Q_p95,Q_med,Q_referencia
1/02/2026,10,2026-02-01 15:00:00+00:00,34.17,37.83,42.38,44.86,40.11,39.88
1/02/2026,14,2026-02-01 19:00:00+00:00,35.49,40.24,45.32,48.09,42.42,42.87241
1/02/2026,18,2026-02-01 23:00:00+00:00,34.52,37.98,42.47,44.99,40.24,42.87241
2/02/2026,10,2026-02-02 15:00:00+00:00,57.01,61.67,66.59,69.06,64.52,62.6219
2/02/2026,14,2026-02-02 19:00:00+00:00,59.63,62.38,66.21,68.94,64.41,60.8265
2/02/2026,18,2026-02-02 23:00:00+00:00,54.48,58.87,64.79,68.03,61.98,65.0158
3/02/2026,10,2026-02-03 15:00:00+00:00,56.57,61,65.28,67.19,63.12,62.0234
3/02/2026,14,2026-02-03 19:00:00+00:00,53.08,58.64,63.7,66.52,61.03,59.6296
3/02/2026,18,2026-02-03 23:00:00+00:00,52.61,58,62.9,65.73,60.73,59.0311
4/02/2026,10,2026-02-04 15:00:00+00:00,40.93,43.69,48.18,51.9,45.79,46.4632
4/02/2026,14,2026-02-04 19:00:00+00:00,54.2,57.45,61.64,63.74,59.53,56.0387
4/02/2026,18,2026-02-04 23:00:00+00:00,49.56,54.1,61.36,64.95,58.09,56.6372
5/02/2026,10,2026-02-05 15:00:00+00:00,27.84,31.81,36.05,38.69,33.91,37.1869
5/02/2026,14,2026-02-05 19:00:00+00:00,39.39,44.03,50.97,53.4,48.42,44.3686
5/02/2026,18,2026-02-05 23:00:00+00:00,39.94,44.72,50.79,54.96,48.06,46.164
6/02/2026,10,2026-02-06 15:00:00+00:00,25.4,27.96,31.03,32.86,29.56,37.4862
6/02/2026,14,2026-02-06 19:00:00+00:00,22.22,25.98,31.32,34.23,28.78,37.4862
6/02/2026,18,2026-02-06 23:00:00+00:00,33.56,38.8,43.56,45.64,41.53,38.6831
7/02/2026,10,2026-02-07 15:00:00+00:00,26.45,27.78,30.1,31.56,28.83,32.6984
7/02/2026,14,2026-02-07 19:00:00+00:00,22,24.59,28.01,30.87,26.27,32.6984
7/02/2026,18,2026-02-07 23:00:00+00:00,25.67,27.88,31.2,33.15,29.61,35.6908
8/02/2026,10,2026-02-08 15:00:00+00:00,25.46,27.02,29.41,31.39,28.1,32.6984
8/02/2026,14,2026-02-08 19:00:00+00:00,24.21,26.95,30.07,31.92,28.52,31.5015
8/02/2026,18,2026-02-08 23:00:00+00:00,25.71,27.67,30.49,32.28,29.06,33.8953
9/02/2026,10,2026-02-09 15:00:00+00:00,23.86,25.31,27.65,29.06,26.44,31.5015
9/02/2026,14,2026-02-09 19:00:00+00:00,24.08,27.66,30.81,32.83,29.36,32.6984
9/02/2026,18,2026-02-09 23:00:00+00:00,20.11,24.16,27.77,31.14,26.08,32.0999
10/02/2026,10,2026-02-10 15:00:00+00:00,25.06,26.73,28.89,30.12,27.81,30.3045
10/02/2026,14,2026-02-10 19:00:00+00:00,25.43,27.39,29.9,32.02,28.68,31.5015
10/02/2026,18,2026-02-10 23:00:00+00:00,24.92,27.13,29.7,31.16,28.62,31.5015
11/02/2026,10,2026-02-11 15:00:00+00:00,25.71,27.67,30.23,31.68,28.98,29.7061
11/02/2026,14,2026-02-11 19:00:00+00:00,25.1,26.82,29.64,31.07,28.22,29.7061
11/02/2026,18,2026-02-11 23:00:00+00:00,23.48,24.69,26.6,27.79,25.7,27.9106
12/02/2026,10,2026-02-12 15:00:00+00:00,24.94,26.51,28.45,29.57,27.5,30.3045
12/02/2026,14,2026-02-12 19:00:00+00:00,23.73,25.48,27.73,28.92,26.67,30.3045
12/02/2026,18,2026-02-12 23:00:00+00:00,23.88,25.98,28.17,29.38,27.17,30.3045
