timestamp,senamhi_flow,senamhi_level,velocimetry
1748581217000,25.4183,0.19,"[1.422316738798794, 1.5231905112475603, 1.6794091684510362, 1.8104397601038271, 2.048063946100353, 2.275285051972639, 2.426238177555199, 2.477957661258709, 2.3086660596707773, 2.121797478433039, 2.0099869108832236, 1.6298913867711184, 1.3456365777228747, 1.2395732759939233, 0.940403153607313, 0.8199016983830976, 0.8569977295672622]"
1748584821000,24.7461,0.18,"[1.3899164792286873, 1.5128193876657459, 1.637818837846694, 1.7899589862644385, 2.0412184339501662, 2.2471109396830404, 2.4005478306305164, 2.431667961504097, 2.296633126877839, 2.1181071561991236, 1.9870287790593957, 1.6290771319512143, 1.3645158368102723, 1.217751375450167, 0.9530969322172779, 0.8213331998539893, 0.7336544384061945]"
1748588416000,24.0738,0.17,"[1.3998547377993913, 1.5109711157574002, 1.5916720705272136, 1.7237545164826746, 1.96882536810797, 2.174885471688796, 2.358090751569039, 2.152569566664161, 2.149157272752231, 2.1080554154582396, 2.0130909564209056, 1.580263918298774, 1.302356613112635, 1.1225770780282291, 0.8158464765167863, 0.7239665620616063, 0.8765385539540558]"
1748592016000,24.41,0.17,"[1.394569904387838, 1.5103612688735228, 1.6059371453565572, 1.7329847772265188, 1.9886488983469772, 2.211746596223283, 2.3670565181916645, 2.196929490319734, 2.2056564667069587, 2.1311938071306744, 2.034287893051938, 1.638444878529687, 1.3209668627111897, 1.1578692729301905, 0.8596073338149385, 0.7518390349328714, 0.6488763900475893]"
1748595617000,24.41,0.17,"[1.4220592753631955, 1.5114008162544101, 1.6104608107854281, 1.7432258016774662, 1.9912724043075507, 2.230968889989526, 2.397944721911558, 2.253288409925504, 2.1957126574293224, 2.10075715319962, 2.0044890559232926, 1.6212490427797581, 1.3258169584878399, 1.2027025821818222, 0.8913284691739117, 0.7541239923245883, 0.9955880995521958]"
1748599217000,24.41,0.17,"[1.4404158587473572, 1.5189864178783603, 1.6215752408495379, 1.761741321296726, 2.0003260346058482, 2.2368828245782972, 2.4237376508975, 2.2906227559281707, 2.2189865013632457, 2.1108272133192783, 2.002696374399075, 1.6207644172607576, 1.3370545315093805, 1.1813880664355332, 0.8780296365775215, 0.769148389771527, 0.8870672533443587]"
1748602816000,24.41,0.17,"[1.371723925305029, 1.4771197150169402, 1.5726863247932856, 1.7146310202045358, 1.9772944048119718, 2.2096743783607335, 2.356519722864833, 2.199267544827335, 2.2804251855160933, 2.2314691418665786, 2.0623838251405244, 1.7132530565646997, 1.425698978767792, 1.2045032779931244, 0.855029539624374, 0.7719404677956475, 0.6209892630172766]"
1748606416000,23.7377,0.16,"[1.0328948222893273, 1.1181740033005345, 1.2919862737036767, 1.6477867405996052, 2.1426978126183824, 2.4285894976898157, 2.379801100276086, 2.130269805403009, 2.2406376583400984, 2.3650130494608974, 2.323635366364194, 2.10508663320875, 1.9750270110180852, 1.4956876613202723, 0.9909930912107093, 0.8514946253916134, 0.7055041911787108]"
1748610017000,23.7377,0.155,"[1.0981789697200366, 1.166080152544608, 1.3646650822935835, 1.6843495437487175, 2.1915620820450807, 2.4467346853406107, 2.4096561845547146, 2.148323454235639, 2.293015621265282, 2.388459059850702, 2.3503157170387463, 2.1190935080351587, 2.0056895167921205, 1.5225487905159176, 0.9952113635226763, 0.8719983907760162, 0.7272969904035534]"
1748613617000,23.7377,0.155,"[1.1165304952889736, 1.1759969539787167, 1.3748656882232164, 1.7607180591300948, 2.198126692400933, 2.4426974022969956, 2.4264068538929227, 2.2552968747696474, 2.357466445210305, 2.416992921519591, 2.336636057214181, 2.0318231539509277, 1.8593979555661542, 1.5424106796481376, 1.0312556624546763, 0.8865144458365671, 0.7316540225898952]"
1748617217000,23.7377,0.155,"[1.1493894009514005, 1.1659548668365551, 1.3843497916272924, 1.7626600513104234, 2.1966832972703556, 2.4435201393164334, 2.418351389390717, 2.177168479060214, 2.2872469599111254, 2.3756726268119834, 2.3007887705019665, 2.0399890752315275, 1.8084720096470446, 1.432057027010949, 0.9929791183384867, 0.8776946303547293, 0.7572947484975656]"
1748620816000,23.7377,0.155,"[1.135989625903815, 1.1468462011293616, 1.3676899035929033, 1.716230803000788, 2.133307255522476, 2.4126328906826147, 2.3888036090201386, 2.1208228865156737, 2.235698323500751, 2.3258884458838054, 2.254059258873424, 1.9850789207760993, 1.7858065511599128, 1.4475911108369617, 0.9570846557836323, 0.8573980060716152, 0.749240277520463]"
1748624416000,23.7377,0.155,"[1.2098401965977765, 1.18968734177813, 1.3473970056245645, 1.7052910995568809, 2.1576389845244957, 2.42861774654474, 2.3691036239079786, 2.0878912068715834, 2.2637891976772115, 2.3230518400333784, 2.239224953764592, 2.046461297355746, 1.8937281979624594, 1.3373414191945674, 0.9294946841307764, 0.8416094682022515, 0.7169318828708456]"
1748628016000,23.7377,0.155,"[1.1594202062305943, 1.1913829241615246, 1.3893242887259163, 1.7188674837383646, 2.190999354500974, 2.4259620891934794, 2.3759434252834826, 2.152758495307018, 2.2607175022774078, 2.331502974046655, 2.3047346463868568, 2.1115183173840992, 1.8711684545061869, 1.3845133719699936, 0.9726283473852434, 0.8203105521559273, 0.750362164249432]"
1748631616000,24.41,0.165,"[1.176642171911133, 1.2538232419467814, 1.4459184411543164, 1.7919078067211192, 2.2168077476902326, 2.4288409299894376, 2.451288121085325, 2.365819219365255, 2.4082298975768066, 2.4161506236016335, 2.3577856365512666, 2.1215778081844108, 1.9199155181841825, 1.5278898274497248, 1.051319607632947, 0.933423144372536, 0.8767902532414436]"
1748635217000,24.41,0.165,"[1.0876412521960723, 1.1871618535413007, 1.391163060743199, 1.7796993559246888, 2.254105405740276, 2.4390925803295014, 2.4089008870888593, 2.2558331107241902, 2.3172008229250145, 2.3632479609834935, 2.3399560214864996, 2.231795214177035, 2.0931205232891545, 1.638672723152497, 1.0282614648908175, 0.9386681648736052, 0.8317266013612712]"
