timestamp,senamhi_flow,senamhi_level,velocimetry
1749708020000,28.0286,0.095,"[1.3493247736593956, 1.4608550908252336, 1.5299050334378321, 1.5999650121862914, 1.8754169440331725, 2.0738319738211275, 2.196115444244481, 1.9838495024774063, 2.1877193186763058, 2.2340910708163366, 2.102791644240604, 1.6431722044703856, 1.420846058837713, 1.2195581757211997, 0.7542978533092107, 0.6693994619370484, 1.0500882399677143]"
1746493224000,56.0052,0.635,"[1.8575200120674125, 1.992874602472172, 2.1567408099118177, 2.4790911087414345, 3.176894768262415, 3.489439905165925, 3.4339122079782016, 3.567923956876016, 3.5110350267561556, 3.467629105053612, 3.3192954352004183, 2.632626990308234, 2.3236493554552227, 2.0972383194176163, 1.873145952629977, 1.6670353862578273, 1.292352653133475]"
1746540022000,57.3497,0.655,"[1.7891960092179053, 2.002461189528957, 2.5262584581841625, 3.15096470614452, 3.5154870508992913, 3.445023653909771, 3.414035635395628, 3.6069154599686017, 3.784095925020083, 3.7354376118085777, 3.4293893550943184, 2.846742573213126, 2.3785321296204076, 2.0999615627832546, 1.907042263936371, 1.7486632904758599, 1.613325179076935]"
1746144023000,44.9133,0.47,"[1.7437803715165126, 1.9025099968842285, 2.103326336378508, 2.527852831120154, 2.9876892706399736, 3.1816909218270504, 3.2589628356536777, 3.5080483755411693, 3.46365962337608, 3.347798951201602, 3.0995944460685716, 2.4227746472557454, 2.154005311622071, 1.882106364312562, 1.625637112873611, 1.3444899650416222, 1.1312738579498247]"
1747728016000,30.124,0.25,"[1.4058904927294338, 1.6025010713672518, 1.7492080356506867, 1.914415724686136, 2.2459127075577885, 2.5126077384678496, 2.4977038705056644, 2.6091676766417704, 2.695734947825987, 2.5101989208399997, 2.364579983150518, 2.032248496267845, 1.7123439550021102, 1.450452356432262, 1.1926545788584892, 0.9359967044451292, 0.9560992637912091]"
1747666816000,31.1324,0.265,"[1.3076903101043345, 1.4012274998205103, 1.8053773983724868, 2.124645656170028, 2.5194878357743757, 2.6760077303519725, 2.66172502221129, 2.708342372367062, 2.966904473111252, 3.000933805769806, 2.793705894918533, 2.448973561326931, 2.047068596030494, 1.7046950082741898, 1.4002608564789916, 1.1804094742264646, 0.9090156907339223]"
1749106817000,32.369,0.17,"[1.37357902066142, 1.499976162850438, 1.5753012375786086, 1.6472291073791419, 1.9291864849358324, 2.13506553749041, 2.322938341075949, 2.049826632228043, 2.2858420615936885, 2.253909853094304, 2.0227075176296316, 1.5469904963171568, 1.3412918075295333, 1.1928201841383292, 0.7909813441697524, 0.7428445905287124, 0.7444160805580788]"
1745740821000,39.8715,0.395,"[1.6169647430917284, 1.8303225401224863, 1.9934948172214593, 2.350308325552186, 2.7548785254069044, 3.0246265478366654, 3.159024786181578, 3.360653189013826, 3.2843449917028944, 3.1909010094626016, 2.880029415311889, 2.2988242987987326, 2.012595705718695, 1.7505059952524264, 1.531800971031764, 1.271475210951944, 0.9466668382811614]"
1748923217000,30.5088,0.14,"[1.3817142643589955, 1.5086366645273446, 1.6234441029153914, 1.7575009416612724, 2.002702985668238, 2.199292438883882, 2.388370765987116, 2.34617965365348, 2.196572291698905, 2.0811968438525215, 1.9848653193857717, 1.5855615300373351, 1.3199802985036468, 1.2223184889788121, 0.8931978459119233, 0.7685891043442248, 0.8000155231857091]"
1748012416000,25.7544,0.185,"[1.1620864213916606, 1.2761351944496093, 1.6169367660775604, 1.9360404908864004, 2.202285224903479, 2.3705717321966775, 2.4894966312523046, 2.5983155925362564, 2.7835707091527984, 2.7675718370584423, 2.525386378127764, 2.133579217967299, 1.7723966789200054, 1.5380058514310968, 1.2169906825286045, 1.0166841469125834, 0.8628367254330288]"
1747900817000,23.7377,0.155,"[1.3392619150474656, 1.4831301651710005, 1.5881916082299676, 1.730308736411221, 1.9799397586978154, 2.137125234523987, 2.2371872770493137, 2.2832929486366416, 2.351076883180775, 2.160880903946867, 1.9663366659627974, 1.5760656792985774, 1.289064198775995, 1.1156799723013875, 0.8479363335769118, 0.7528932830702268, 0.9459285317813205]"
1748898017000,31.1289,0.15,"[1.1011757586093573, 1.186072940013416, 1.3976241157315437, 1.6684127944848064, 2.1591233273443824, 2.4376923140609885, 2.448636827188845, 2.329231437562927, 2.374762858887502, 2.419687239024289, 2.3764481087739093, 2.24124739544534, 2.087685982330319, 1.5739000333063446, 1.0462686049058294, 0.9408762322032843, 0.8058079066715792]"
1748790017000,31.749,0.16,"[1.22626140368869, 1.2463553678905837, 1.4258271640392208, 1.7429333483545548, 2.1497098900490674, 2.418644854297295, 2.376856387366044, 2.122622698995526, 2.2989312221762446, 2.379611269572726, 2.2841254668673705, 1.984384043624649, 1.7578574233740443, 1.4214632388288122, 0.959865458595732, 0.8520764046494494, 0.7925417409764265]"
1747749616000,28.1073,0.22,"[1.2494601987096934, 1.3508728841649549, 1.6532961273727882, 1.9581604793147038, 2.2726597274876847, 2.4473736638194445, 2.4983897690884054, 2.5870269528461476, 2.7977373590887744, 2.8012759318821128, 2.6006742447790074, 2.259967068480026, 1.8410436966668282, 1.5204827419158335, 1.2202578213867934, 0.9860600730540526, 0.8507914410150639]"
