timestamp,senamhi_flow,senamhi_level,velocimetry
1746669623000,50.2912,0.55,"[1.630454968878553, 1.825223784593785, 2.0339798541013385, 2.399464924222786, 3.0052246504586333, 3.374546427617152, 3.4160579780915117, 3.6433879444211645, 3.5472282351305617, 3.3260379319771762, 2.9806137087305644, 2.2994471620736445, 2.049368695681113, 1.8066335012650292, 1.6301060363403337, 1.3862309671515975, 1.223440120753621]"
1747659617000,29.7879,0.245,"[1.2764574093700973, 1.4393448669466915, 1.7938682410253903, 2.1439940973242804, 2.50313356359576, 2.6707816022002215, 2.6599787449903984, 2.6804242015356055, 2.9290797579024135, 3.0210653921258204, 2.8803238316272677, 2.6117328455530036, 2.2027226428281055, 1.8289775609295442, 1.4505053139881632, 1.1302018403536422, 0.9117303086082725]"
1747832416000,25.4183,0.18,"[1.1646794076106055, 1.2485472736367347, 1.5219242536771949, 1.8228196525249423, 2.1140376886929633, 2.299249090744495, 2.4237038757967797, 2.4966148987065626, 2.646372387302539, 2.655273141557657, 2.504784902766483, 2.121789850636471, 1.7869895490778354, 1.5050574333508633, 1.1530868602230455, 0.9997973013948843, 0.8633925078794217]"
1746003623000,33.1491,0.295,"[1.4490691602632457, 1.6141919977762957, 1.784080042903813, 1.9633991388796284, 2.137143179074573, 2.3646281374043796, 2.5499055656580945, 2.710437211082951, 2.6835945022728205, 2.6752358922925468, 2.545743991067189, 2.134171266135309, 1.7912146398676703, 1.5144260497629067, 1.2292261279082024, 1.0102763341551746, 1.0159043106769348]"
1747814417000,27.435,0.21,"[1.3929326383611276, 1.5437763339048927, 1.7142783559714674, 1.9038017204602007, 2.169315940927567, 2.3939651679297045, 2.464145264875569, 2.625630605170872, 2.5245937590420704, 2.216960297738602, 2.1355481877499534, 1.8383469125425727, 1.5529868785988488, 1.3527498952958195, 1.1071087460088331, 0.8890539518949055, 0.931915869877165]"
1746658822000,48.2745,0.52,"[1.3979578255088183, 1.713302091323773, 1.9324722529062406, 2.27162348558538, 2.8865977989424585, 3.0116402003183795, 3.1484378617566118, 3.4239743075368674, 3.5607720916126433, 3.4813872242331376, 2.87256288645048, 2.3410261937984247, 2.0312111968910687, 1.8174424618512341, 1.6041763727622764, 1.2814768657719313, 1.1710714774101583]"
1748026816000,27.0989,0.205,"[1.1866933098266081, 1.2827588160622883, 1.5530533126835298, 1.859224921286884, 2.231208857689963, 2.3892736795920055, 2.4759881126502243, 2.581201051078322, 2.7738674076647243, 2.804880516632849, 2.6223732940944466, 2.320701764382518, 2.0073159237789038, 1.6349913566367493, 1.264905582723113, 0.9894050001670228, 0.8944978504685633]"
1747288820000,38.1909,0.35,"[1.4909339345007164, 1.694491778126284, 1.8761593958707161, 2.115204919642243, 2.4200064863841035, 2.714059599703963, 2.7589823360980184, 2.9669590131231542, 3.0231962084067363, 3.0149547398263414, 2.7833759220350482, 2.2925578201126355, 1.8909720482577486, 1.5981534544567444, 1.324478748491355, 1.1159766960870636, 0.9572097855577296]"
1747893620000,24.0738,0.165,"[1.3841730550202187, 1.5145683154964258, 1.6454316641147706, 1.7855060240339808, 2.0270488466792647, 2.19136717298374, 2.324854159340972, 2.3519676295916225, 2.357126531875601, 2.1912494960676923, 2.016170342829214, 1.6206244174867093, 1.3563604855981441, 1.1948847733778338, 0.916796992334466, 0.7965823489065054, 0.8234092578113897]"
1746568822000,54.6608,0.615,"[1.626634479000937, 1.7630181897042319, 2.2551450234736676, 2.9187043784441506, 3.2563236151167714, 3.243674786546351, 3.282161786921931, 3.408911884620501, 3.579040739687311, 3.64740003758169, 3.3836168318262128, 2.8482169283237875, 2.412642157343098, 2.099937149313064, 1.9180599559488727, 1.7364248073438335, 1.5010334181912475]"
