timestamp,current_depth,senamhi,standard,spline,linear,trapz,advanced,depth_corrected,exponential_corrected,linear_corrected,polynomial_corrected,time_standard,time_spline,time_linear,time_trapz,time_advanced,time_depth_corrected,time_exponential_corrected,time_linear_corrected,time_polynomial_corrected
1745470823000,0.415,41.216,48.995,48.267,48.108,48.179,40.575,40.286,40.063,40.590,39.226,34.0924,1.6122,0.2096,31.5752,0.2549,0.1984,0.1838,0.1748,0.2160
1745478020000,0.375,38.527,45.253,44.592,44.446,44.515,37.501,37.358,37.511,37.569,36.204,33.2868,0.9120,0.1922,30.3078,0.2241,0.1903,0.1783,0.3307,0.3803
1745488820000,0.295,33.1491,38.983,38.376,38.258,38.315,32.306,32.436,32.732,32.462,31.089,30.2172,0.8159,0.1876,30.5703,0.5422,0.4270,0.4163,0.6161,0.3116
1745492421000,0.275,31.8046,36.728,36.289,36.168,36.234,30.549,30.838,31.570,30.738,29.372,30.3705,0.8152,0.1886,30.2923,0.2408,0.1919,0.1791,0.1736,0.1726
1745514022000,0.285,32.4768,40.186,39.667,39.529,39.604,33.384,33.296,32.243,33.511,32.111,30.1476,1.0109,0.3536,30.3752,0.2649,0.2055,0.1917,0.1798,0.1738
1745517622000,0.295,33.1491,41.132,40.597,40.459,40.535,34.166,34.017,32.822,34.278,32.878,31.7988,0.9351,0.2015,30.6153,0.2506,0.2174,0.2627,0.2005,0.2518
1745521221000,0.295,33.1491,40.919,40.368,40.230,40.306,33.972,33.852,32.813,34.089,32.692,30.1006,0.8185,0.1881,30.3626,0.2193,0.1898,0.3140,0.2713,0.4148
1745524824000,0.315,34.4936,43.610,42.997,42.860,42.931,36.185,35.857,34.018,36.260,34.851,32.3105,0.8392,0.1910,30.4551,0.2193,0.2370,0.2413,0.1969,0.1771
1745528422000,0.335,35.838,43.441,42.833,42.698,42.771,36.041,35.855,35.131,36.126,34.740,30.4484,0.9565,0.2043,30.6993,0.2670,0.2427,0.2840,0.3464,0.4301
1745532022000,0.325,35.1658,43.493,42.891,42.748,42.826,36.087,35.834,34.571,36.168,34.771,32.2578,0.8469,0.1907,29.9296,0.2215,0.1876,0.1774,0.2229,0.2043
1745535622000,0.325,35.1658,40.260,39.736,39.620,39.681,33.446,33.574,34.442,33.586,32.226,30.5133,0.8097,0.1893,30.4763,0.3338,0.3061,0.2530,0.7308,0.3734
1745539221000,0.335,35.838,42.288,41.669,41.534,41.596,35.058,35.012,35.083,35.165,33.793,30.8557,0.8128,0.1879,33.6444,0.2248,0.1895,0.1793,0.4556,0.6928
1745542821000,0.335,35.838,43.021,42.357,42.227,42.286,35.643,35.514,35.112,35.738,34.358,31.5900,0.8287,0.1895,32.1112,0.4625,0.2491,0.1888,0.1750,0.1717
1745546421000,0.345,36.5103,43.341,42.695,42.552,42.618,35.913,35.806,35.693,36.006,34.632,30.3371,0.8097,0.2367,30.3755,0.2153,0.2348,0.2050,0.2270,0.2809
1745550023000,0.345,36.5103,43.454,42.831,42.683,42.752,36.023,35.901,35.699,36.113,34.738,30.2842,1.0033,0.1905,30.7541,0.2210,0.3207,0.2291,0.2105,0.1876
1745557222000,0.34,36.1742,44.054,43.432,43.281,43.353,36.531,36.306,35.438,36.607,35.220,36.0820,1.4365,0.2012,31.3096,0.2222,0.1891,0.1771,0.1700,0.1690
1745560822000,0.36,37.5186,45.204,44.549,44.403,44.472,37.470,37.237,36.633,37.533,36.153,31.0836,0.8583,0.2205,33.2136,0.2649,0.2871,0.2906,0.2315,0.1915
1745578821000,0.25,30.124,35.523,35.091,34.980,35.038,29.554,29.870,30.206,29.757,28.382,30.5114,0.9027,0.1941,31.6947,0.2270,0.1934,0.1771,0.1690,0.1688
1745582421000,0.25,30.124,38.085,37.608,37.483,37.549,31.669,31.653,30.309,31.822,30.412,30.1695,0.8132,0.2131,30.0536,0.3111,0.2580,0.2522,0.2401,0.2017
1745586022000,0.25,30.124,38.075,37.586,37.463,37.528,31.652,31.639,30.308,31.806,30.397,32.3298,0.8991,0.1976,30.9377,0.2189,0.2306,0.2089,0.1841,0.1729
1745589621000,0.23,28.7795,36.101,35.653,35.534,35.599,30.030,30.169,29.201,30.214,28.810,32.2573,0.9007,0.1960,32.7756,0.4566,0.3476,0.3626,0.5035,0.4005
1745593222000,0.22,28.1073,35.666,35.233,35.113,35.177,29.678,29.824,28.677,29.867,28.458,30.6718,0.8271,0.1888,30.9370,0.2344,0.1922,0.1800,0.1712,0.1698
1745596822000,0.23,28.7795,36.334,35.887,35.766,35.832,30.226,30.334,29.210,30.406,28.998,30.0660,0.8731,0.2015,30.5901,0.2875,0.2975,0.2079,0.1831,0.2005
