timestamp,current_depth,senamhi,standard,spline,linear,trapz,advanced,depth_corrected,exponential_corrected,linear_corrected,polynomial_corrected,time_standard,time_spline,time_linear,time_trapz,time_advanced,time_depth_corrected,time_exponential_corrected,time_linear_corrected,time_polynomial_corrected
1748581217000,0.19,25.4183,29.349,28.908,28.815,28.862,24.364,25.247,26.929,24.669,23.326,25.9402,3.3693,0.2561,22.6617,0.2022,0.1349,0.4222,0.1671,0.1278
1748584821000,0.18,24.7461,28.761,28.378,28.275,28.327,23.911,24.829,26.420,24.224,22.880,24.1446,0.8821,0.1538,25.1555,0.3586,0.2720,0.2275,0.2289,0.1991
1748588416000,0.17,24.0738,27.368,26.939,26.851,26.902,22.710,23.791,25.879,23.049,21.719,31.7557,1.5683,0.2739,31.2431,0.2961,0.1895,0.2029,0.2122,0.2596
1748592016000,0.17,24.41,27.675,27.325,27.218,27.277,23.021,24.049,25.895,23.352,22.016,25.1539,0.9558,0.1464,22.3489,0.1831,0.1271,0.1295,0.1237,0.1252
1748595617000,0.17,24.41,28.011,27.540,27.459,27.506,23.224,24.218,25.904,23.551,22.211,26.9783,0.8054,0.1369,21.1825,0.1674,0.1407,0.1264,0.1135,0.1328
1748599217000,0.17,24.41,28.108,27.672,27.581,27.632,23.327,24.304,25.909,23.651,22.309,22.6758,0.7386,0.1457,21.2164,0.1841,0.1323,0.1271,0.1247,0.1183
1748602816000,0.17,24.41,28.075,27.738,27.627,27.689,23.367,24.336,25.911,23.690,22.347,23.5882,0.7014,0.1571,21.4944,0.1831,0.1338,0.1349,0.1137,0.1583
1748606416000,0.16,23.7377,29.612,29.302,29.181,29.258,24.684,25.387,25.498,24.972,23.594,29.8886,0.9851,0.1681,43.6692,0.3738,0.3126,0.2337,0.2093,0.3235
1748610017000,0.155,23.7377,29.931,29.610,29.490,29.566,24.947,25.584,25.274,25.227,23.839,39.8448,1.2426,0.1652,35.2921,0.4370,0.2162,0.2682,0.2744,0.2742
1748613617000,0.155,23.7377,30.053,29.730,29.616,29.684,25.054,25.672,25.279,25.331,23.940,45.8655,1.5607,0.2134,25.5120,0.4094,0.1934,0.1457,0.1256,0.1254
1748617217000,0.155,23.7377,29.617,29.280,29.167,29.236,24.674,25.358,25.261,24.960,23.577,22.3682,0.8700,0.1431,21.9052,0.2046,0.1402,0.1347,0.1166,0.1254
1748620816000,0.155,23.7377,29.059,28.725,28.614,28.683,24.206,24.971,25.238,24.504,23.130,24.8499,0.9592,0.1466,21.9309,0.1688,0.1369,0.1309,0.1740,0.1516
1748624416000,0.155,23.7377,29.102,28.767,28.653,28.724,24.239,24.998,25.240,24.536,23.162,22.7661,0.7620,0.1385,21.4419,0.1791,0.1359,0.1247,0.1304,0.1895
